id,duration,gross,movie_title,budget,title_year,imdb_score
1,178,760505847,Avatar,237000000,2009,7.9
2,169,309404152,Pirates of the Caribbean: At World's End,300000000,2007,7.1
3,148,200074175,Spectre,245000000,2015,6.8
4,164,448130642,The Dark Knight Rises,250000000,2012,8.5
5,132,73058679,John Carter,263700000,2012,6.6
6,156,336530303,Spider-Man 3,258000000,2007,6.2
7,100,200807262,Tangled,260000000,2010,7.8
8,141,458991599,Avengers: Age of Ultron,250000000,2015,7.5
9,153,301956980,Harry Potter and the Half-Blood Prince,250000000,2009,7.5
10,183,330249062,Batman v Superman: Dawn of Justice,250000000,2016,6.9
11,169,200069408,Superman Returns,209000000,2006,6.1
12,106,168368427,Quantum of Solace,200000000,2008,6.7
13,151,423032628,Pirates of the Caribbean: Dead Man's Chest,225000000,2006,7.3
14,150,89289910,The Lone Ranger,215000000,2013,6.5
15,143,291021565,Man of Steel,225000000,2013,7.2
16,150,141614023,The Chronicles of Narnia: Prince Caspian,225000000,2008,6.6
17,173,623279547,The Avengers,220000000,2012,8.1
18,136,241063875,Pirates of the Caribbean: On Stranger Tides,250000000,2011,6.7
19,106,179020854,Men in Black 3,225000000,2012,6.8
20,164,255108370,The Hobbit: The Battle of the Five Armies,250000000,2014,7.5
21,153,262030663,The Amazing Spider-Man,230000000,2012,7
22,156,105219735,Robin Hood,200000000,2010,6.7
23,186,258355354,The Hobbit: The Desolation of Smaug,225000000,2013,7.9
24,113,70083519,The Golden Compass,180000000,2007,6.1
25,201,218051260,King Kong,207000000,2005,7.2
26,194,658672302,Titanic,200000000,1997,7.7
27,147,407197282,Captain America: Civil War,250000000,2016,8.2
28,131,65173160,Battleship,209000000,2012,5.9
29,124,652177271,Jurassic World,150000000,2015,7
30,143,304360277,Skyfall,200000000,2012,7.8
31,135,373377893,Spider-Man 2,200000000,2004,7.3
32,195,408992272,Iron Man 3,200000000,2013,7.2
33,108,334185206,Alice in Wonderland,200000000,2010,6.5
34,104,234360014,X-Men: The Last Stand,210000000,2006,6.8
35,104,268488329,Monsters University,200000000,2013,7.3
36,150,402076689,Transformers: Revenge of the Fallen,200000000,2009,6
37,165,245428137,Transformers: Age of Extinction,210000000,2014,5.7
38,130,234903076,Oz the Great and Powerful,215000000,2013,6.4
39,142,202853933,The Amazing Spider-Man 2,200000000,2014,6.7
40,125,172051787,TRON: Legacy,170000000,2010,6.8
41,106,191450875,Cars 2,200000000,2011,6.3
42,123,116593191,Green Lantern,200000000,2011,5.6
43,103,414984497,Toy Story 3,200000000,2010,8.3
44,118,125320003,Terminator Salvation,200000000,2009,6.6
45,140,350034110,Furious 7,190000000,2015,7.2
46,123,202351611,World War Z,190000000,2013,7
47,149,233914986,X-Men: Days of Future Past,200000000,2014,8
48,132,228756232,Star Trek Into Darkness,190000000,2013,7.8
49,114,65171860,Jack the Giant Slayer,195000000,2013,6.3
50,143,144812796,The Great Gatsby,105000000,2013,7.3
51,116,90755643,Prince of Persia: The Sands of Time,200000000,2010,6.6
52,131,101785482,Pacific Rim,190000000,2013,7
53,154,352358779,Transformers: Dark of the Moon,195000000,2011,6.3
54,122,317011114,Indiana Jones and the Kingdom of the Crystal Skull,185000000,2008,6.2
55,93,123070338,The Good Dinosaur,,2015,6.8
56,93,237282182,Brave,185000000,2012,7.2
57,122,130468626,Star Trek Beyond,185000000,2016,7.5
58,98,223806889,WALL-E,180000000,2008,8.4
59,91,140080850,Rush Hour 3,140000000,2007,6.2
60,158,166112167,2012,200000000,2009,5.8
